Member,Order,SKU,Created On,Description,group
M09736,6468572,34993740,22-09-2014 22:45,Other Sauces,train
M09736,6468572,15669800,22-09-2014 22:45,Cashews,train
M09736,6468572,34989501,22-09-2014 22:45,Other Dals,train
M09736,6468572,7572303,22-09-2014 22:45,Namkeen,train
M09736,6468572,15669856,22-09-2014 22:45,Sugar,train
M09736,6468572,15668478,22-09-2014 22:45,Banana,train
M09736,6468572,21409124,22-09-2014 22:45,Sugar Cubes,train
M09736,6468572,34938526,22-09-2014 22:45,Other Sweets,train
M09736,6468572,15669778,22-09-2014 22:45,Other Dals,train
M09736,6468572,34989440,22-09-2014 22:45,Other Rice Products,train
M09736,6468572,15669830,22-09-2014 22:45,Other Rice Products,train
M09736,6468572,7569799,22-09-2014 22:45,Namkeen,train
M09736,6486475,34991046,28-09-2014 14:06,Utensil Scrub Pads,train
M09736,6486475,15669830,28-09-2014 14:06,Other Rice Products,train
M09736,6486475,15669878,28-09-2014 14:06,Toor Dal,train
M09736,6486475,34991191,28-09-2014 14:06,Buns & Pavs,train
M09736,6486475,7585573,28-09-2014 14:06,Cakes,train
M09736,6486475,34989501,28-09-2014 14:06,Other Dals,train
M09736,6486475,15669789,28-09-2014 14:06,Boiled Rice,train
M09736,6504964,15669767,14-09-2014 23:06,Urad Dal,train
M09736,6504964,15669789,14-09-2014 23:06,Boiled Rice,train
M09736,6504964,15669814,14-09-2014 23:06,Jaggery,train
M09736,6504964,15669778,14-09-2014 23:06,Other Dals,train
M09736,6504964,15669865,14-09-2014 23:06,Other Dals,train
M09736,6504964,15669965,14-09-2014 23:06,Raisins,train
M09736,6504964,34934493,14-09-2014 23:06,Chips,train
M09736,6504964,34989501,14-09-2014 23:06,Other Dals,train
M09736,6504964,15669811,14-09-2014 23:06,Almonds,train
M09736,6529569,15669780,4/9/14 22:56,Sugar,train
M09736,6529569,15669814,4/9/14 22:56,Jaggery,train
M09736,6529569,15668465,4/9/14 22:56,Root Vegetables,train
M09736,6529569,7585573,4/9/14 22:56,Cakes,train
M09736,6529569,15669767,4/9/14 22:56,Urad Dal,train
M09736,6529569,7572303,4/9/14 22:56,Namkeen,train
M09736,6529569,15668381,4/9/14 22:56,Other Vegetables,train
M09736,6529569,15669869,4/9/14 22:56,Moong Dal,train
M09736,6529569,15668478,4/9/14 22:56,Banana,train
M09736,6529569,15669865,4/9/14 22:56,Other Dals,train
M09736,6529569,15669965,4/9/14 22:56,Raisins,train
M09736,6529569,15669878,4/9/14 22:56,Toor Dal,train
M09736,6529569,15669800,4/9/14 22:56,Cashews,train
M09736,6529569,15669804,4/9/14 22:56,Cashews,train
M09736,6529569,92388181,4/9/14 22:56,Healthy Snacks,train
M09736,6549521,15668478,9/9/14 23:10,Banana,train
M09736,6549521,15669800,9/9/14 23:10,Cashews,train
M09736,6549521,34989440,9/9/14 23:10,Other Rice Products,train
M09736,6549521,15669972,9/9/14 23:10,Cashews,train
M09736,6549521,15669803,9/9/14 23:10,Cashews,train
M09736,6549521,15669861,9/9/14 23:10,Raw Peanuts,train
M09736,6549521,21409124,9/9/14 23:10,Sugar Cubes,train
M09736,6562518,15669830,26-08-2014 22:55,Other Rice Products,train
M09736,6562518,21409002,26-08-2014 22:55,Moong Dal,train
M09736,6562518,34993978,26-08-2014 22:55,Mosquito Repellent,train
M09736,6562518,34989440,26-08-2014 22:55,Other Rice Products,train
M09736,6562518,15669789,26-08-2014 22:55,Boiled Rice,train
M09736,6562518,15669778,26-08-2014 22:55,Other Dals,train
M09736,6562518,15669884,26-08-2014 22:55,Whole Spices,train
M09736,6562518,15669856,26-08-2014 22:55,Sugar,train
M09736,6562518,21409124,26-08-2014 22:55,Sugar Cubes,train
M09736,6562518,29247229,26-08-2014 22:55,Whole Spices,train
M09736,6562518,15669777,26-08-2014 22:55,Urad Dal,train
M09736,6562518,29247171,26-08-2014 22:55,Whole Spices,train
M09736,6562518,34989441,26-08-2014 22:55,Soya Products,train
M09736,6562518,15668467,26-08-2014 22:55,Beans,train
M09736,6562518,34989501,26-08-2014 22:55,Other Dals,train
M09736,6562518,15668379,26-08-2014 22:55,Other Vegetables,train
M09736,6596905,21409002,17-08-2014 22:50,Moong Dal,train
M09736,6596905,7572303,17-08-2014 22:50,Namkeen,train
M09736,6596905,15668685,17-08-2014 22:50,Beans,train
M09736,6596905,7753739,17-08-2014 22:50,Health Drinks,train
M09736,6596905,15668478,17-08-2014 22:50,Banana,train
M09736,6596905,7623116,17-08-2014 22:50,Liquid Soaps & Bars,train
M09736,6596905,21409124,17-08-2014 22:50,Sugar Cubes,train
M09736,6596905,15669859,17-08-2014 22:50,Toor Dal,train
M09736,6596905,92436826,17-08-2014 22:50,Washing Bars,train
M09736,6596905,15668377,17-08-2014 22:50,Root Vegetables,train
M09736,6596905,15669865,17-08-2014 22:50,Other Dals,train
M09736,6596905,15669789,17-08-2014 22:50,Boiled Rice,train
M09736,6596905,15669790,17-08-2014 22:50,Other Rice Products,train
M09736,6596905,34989440,17-08-2014 22:50,Other Rice Products,train
M09736,6612806,34994208,22-08-2014 19:22,Chips,train
M09736,6612806,7572303,22-08-2014 19:22,Namkeen,train
M09736,6612806,7561691,22-08-2014 19:22,Namkeen,train
M09736,6612806,15668375,22-08-2014 19:22,Root Vegetables,train
M09736,6612806,15669856,22-08-2014 19:22,Sugar,train
M09736,6612806,7569799,22-08-2014 19:22,Namkeen,train
M09736,6612806,7624788,22-08-2014 19:22,Ghee,train
M09736,6612806,15668478,22-08-2014 19:22,Banana,train
M09736,6612806,92388181,22-08-2014 19:22,Healthy Snacks,train
M09736,6624000,15670245,6/8/14 8:14,Organic F&V,train
M09736,6624000,7580802,6/8/14 8:14,Sunflower Oils,train
