from_unitid,to_unitid,rank,year
100654,100724,1,2016
100654,102377,2,2016
100654,138947,3,2016
100654,221838,4,2016
100654,133650,5,2016
100654,100751,6,2016
100654,100663,7,2016
100654,175856,8,2016
100654,101480,9,2016
100654,100706,10,2016
100654,102368,11,2016
100654,131520,12,2016
100654,102094,13,2016
100654,138716,14,2016
100654,100858,15,2016
100654,139940,16,2016
100654,102270,17,2016
100654,101675,18,2016
100654,159009,19,2016
100654,141060,20,2016
100654,199102,21,2016
100654,100830,22,2016
100654,157058,23,2016
100654,132602,24,2016
100654,218733,25,2016
483975,,1,2016
101949,100724,1,2016
101949,100654,2,2016
101949,102094,3,2016
101949,100760,4,2016
101949,100663,5,2016
101949,102368,6,2016
101949,102067,7,2016
101949,102030,8,2016
101949,100751,9,2016
101949,101587,10,2016
101949,100706,11,2016
101949,101073,12,2016
101949,101480,13,2016
101949,101675,14,2016
101949,101189,15,2016
101949,101897,16,2016
101949,100830,17,2016
101949,100858,18,2016
101949,101161,19,2016
101949,101569,20,2016
101949,101602,21,2016
101949,101499,22,2016
101949,101286,23,2016
101949,100937,24,2016
101949,101143,25,2016
100724,100654,1,2016
100724,221838,2,2016
100724,102377,3,2016
100724,100751,4,2016
100724,138947,5,2016
100724,100663,6,2016
100724,133650,7,2016
100724,138716,8,2016
100724,175856,9,2016
100724,139940,10,2016
100724,100858,11,2016
100724,102368,12,2016
100724,100830,13,2016
100724,102094,14,2016
100724,101480,15,2016
100724,131520,16,2016
100724,159009,17,2016
100724,141060,18,2016
100724,176080,19,2016
100724,101675,20,2016
100724,134097,21,2016
100724,132602,22,2016
100724,140960,23,2016
100724,102270,24,2016
100724,157058,25,2016
100690,101189,1,2016
100690,106795,2,2016
100690,101073,3,2016
100690,101453,4,2016
100690,106810,5,2016
100690,141167,6,2016
100690,100830,7,2016
100690,100812,8,2016
100690,135364,9,2016
100690,100858,10,2016
100690,101675,11,2016
100690,434584,12,2016
100690,107619,13,2016
100690,222628,14,2016
100690,100724,15,2016
100690,180814,16,2016
100690,121071,17,2016
100690,194569,18,2016
100690,110060,19,2016
100690,203456,20,2016
100690,420538,21,2016
100690,102298,22,2016
100690,102429,23,2016
100690,107549,24,2016
100690,161165,25,2016
100812,101879,1,2016
100812,101514,2,2016
100812,101480,3,2016
100812,100706,4,2016
100812,101295,5,2016
100812,101189,6,2016
100812,101709,7,2016
100812,102368,8,2016
100812,101675,9,2016
100812,100654,10,2016
100812,101736,11,2016
100812,100724,12,2016
100812,102049,13,2016
100812,100858,14,2016
100812,100690,15,2016
100812,100663,16,2016
100812,101587,17,2016
100812,100751,18,2016
100812,100937,19,2016
100812,101435,20,2016
100812,101693,21,2016
100812,101897,22,2016
100812,138789,23,2016
100812,102076,24,2016
100812,219949,25,2016
100858,100751,1,2016
