from,to,rank
100663,100751,1
100663,100858,2
100663,100706,3
100663,134130,4
100663,100724,5
100663,176080,6
100663,100812,7
100663,137351,8
100663,101587,9
100663,198695,10
100724,100751,1
100724,176080,2
100724,134097,3
100724,102368,4
100724,100858,5
100724,100654,6
100724,175856,7
100724,134130,8
100724,100663,9
100724,171100,10
100751,100858,1
100751,134097,2
100751,100663,3
100751,134130,4
100751,218663,5
100751,106397,6
100751,223232,7
100751,137351,8
100751,132903,9
100751,135726,10
100858,134130,1
100858,100751,2
100858,139959,3
100858,217882,4
100858,126818,5
100858,218663,6
100858,104151,7
100858,100663,8
100858,134097,9
100858,223232,10
101480,100812,1
101480,100724,2
101480,243744,3
101480,134130,4
101480,102049,5
101480,211644,6
101480,213020,7
101480,220075,8
101480,216038,9
101480,110538,10
102049,223232,1
102049,100751,2
102049,101709,3
102049,219709,4
102049,100663,5
102049,102368,6
102049,100724,7
102049,137847,8
102049,225247,9
102049,222178,10
102094,100751,1
102094,100724,2
102094,102368,3
102094,176017,4
102094,176080,5
102094,134097,6
102094,101879,7
102094,100706,8
102094,102377,9
102094,102049,10
102553,102614,1
102553,236948,2
102553,161253,3
102553,190415,4
102553,236939,5
102553,174066,6
102553,110680,7
102553,110529,8
102553,110422,9
102553,174783,10
102614,102553,1
102614,228778,2
102614,187967,3
102614,190415,4
102614,235097,5
102614,209542,6
102614,234827,7
102614,161253,8
102614,155317,9
102614,142276,10
102632,180489,1
102632,102614,2
102632,102553,3
102632,102669,4
102632,236939,5
102632,235167,6
102632,209542,7
102632,180692,8
104151,104179,1
104151,105330,2
104151,228778,3
104151,110635,4
104151,110680,5
104151,193900,6
104151,171100,7
104151,243744,8
104151,134097,9
104151,223232,10
104179,104151,1
104179,105330,2
104179,110583,3
104179,110680,4
104179,104717,5
104179,229115,6
104179,228778,7
104179,123961,8
104179,171100,9
104179,170976,10
105330,104151,1
105330,104179,2
105330,126818,3
105330,110538,4
105330,110583,5
105330,122409,6
105330,110617,7
105330,230764,8
105330,104717,9
105330,147703,10
106458,106397,1
106458,106704,2
106458,106467,3
106458,237525,4
106458,157447,5
106458,220862,6
106458,214041,7
106458,213020,8
106458,207388,9
106458,133650,10
106704,106458,1
106704,107071,2
106704,106245,3
106704,187985,4
106704,145813,5
106704,106467,6
106704,107983,7
106704,137351,8
106704,187648,9
106704,106412,10
107044,222178,1
107080,106704,1
109651,108232,1
109651,111081,2
109651,110370,3
109651,110185,4
109651,113582,5
109651,136774,6
109651,120403,7
109651,122612,8
109651,104151,9
109651,132338,10
109785,123961,1
109785,111948,2
109785,110097,3
109785,117636,4
109785,110592,5
109785,122409,6
109785,110583,7
109785,110662,8
109785,121309,9
109785,120883,10
110097,123961,1
110097,109785,2
110097,111948,3
110097,121150,4
110097,122409,5
110097,110662,6
110097,110583,7
110097,110413,8
110097,110592,9
110097,123651,10
110404,166683,1
110404,110635,2
110404,243744,3
110404,110662,4
110404,190415,5
110404,130794,6
110404,166027,7
110404,123961,8
110404,190150,9
110404,186131,10
110413,123961,1
110413,109785,2
110413,121150,3
110413,204796,4
110413,122409,5
110413,110097,6
110413,125727,7
110413,111948,8
110413,121345,9
110413,121257,10
110422,110529,1
110422,110644,2
110422,110662,3
110422,110705,4
110422,110635,5
110422,110680,6
110422,123961,7
110422,110538,8
110422,110583,9
110422,110608,10
110486,110538,1
110486,110583,2
110486,110510,3
110486,110617,4
110486,110574,5
110486,110556,6
110486,110592,7
110486,135726,8
110486,110495,9
110486,122755,10
110495,110538,1
110495,110617,2
110495,110574,3
110495,110510,4
110495,110556,5
110495,122597,6
110495,123572,7
110495,122409,8
110495,110592,9
110495,110486,10
110510,110583,1
110510,110529,2
110510,110592,3
110510,110617,4
110510,122409,5
110510,110565,6
110510,110556,7
110510,110538,8
110510,110495,9
110510,110486,10
110529,110422,1
110529,110583,2
110529,110662,3
110529,110680,4
110529,110635,5
110529,110644,6
110529,110565,7
110529,110653,8
110529,122409,9
110529,110510,10
110538,110583,1
110538,110617,2
110538,122597,3
110538,110635,4
110538,110592,5
110538,110705,6
110538,110714,7
110538,122755,8
110538,110556,9
110538,110422,10
110547,110583,1
110547,110592,2
110547,110680,3
110547,110486,4
110547,123961,5
110547,122931,6
110547,110565,7
110547,110510,8
110547,110574,9
110547,110422,10
110556,110538,1
110556,110617,2
110556,122755,3
110556,110583,4
110556,110510,5
110556,122597,6
110556,110608,7
110556,110495,8
110556,110592,9
110556,110422,10
110565,110583,1
110565,110529,2
110565,110592,3
110565,110653,4
