from,to,rank
100654,100724,1
100654,102377,2
100654,138947,3
100654,221838,4
100654,133650,5
100654,100751,6
100654,100663,7
100654,175856,8
100654,101480,9
100654,100706,10
100654,102368,11
100654,131520,12
100654,102094,13
100654,138716,14
100654,100858,15
100654,139940,16
100654,102270,17
100654,101675,18
100654,159009,19
100654,141060,20
100654,199102,21
100654,100830,22
100654,157058,23
100654,132602,24
100654,218733,25
483975,,1
101949,100724,1
101949,100654,2
101949,102094,3
101949,100760,4
101949,100663,5
101949,102368,6
101949,102067,7
101949,102030,8
101949,100751,9
101949,101587,10
101949,100706,11
101949,101073,12
101949,101480,13
101949,101675,14
101949,101189,15
101949,101897,16
101949,100830,17
101949,100858,18
101949,101161,19
101949,101569,20
101949,101602,21
101949,101499,22
101949,101286,23
101949,100937,24
101949,101143,25
100724,100654,1
100724,221838,2
100724,102377,3
100724,100751,4
100724,138947,5
100724,100663,6
100724,133650,7
100724,138716,8
100724,175856,9
100724,139940,10
100724,100858,11
100724,102368,12
100724,100830,13
100724,102094,14
100724,101480,15
100724,131520,16
100724,159009,17
100724,141060,18
100724,176080,19
100724,101675,20
100724,134097,21
100724,132602,22
100724,140960,23
100724,102270,24
100724,157058,25
100690,101189,1
100690,106795,2
100690,101073,3
100690,101453,4
100690,106810,5
100690,141167,6
100690,100830,7
100690,100812,8
100690,135364,9
100690,100858,10
100690,101675,11
100690,434584,12
100690,107619,13
100690,222628,14
100690,100724,15
100690,180814,16
100690,121071,17
100690,194569,18
100690,110060,19
100690,203456,20
100690,420538,21
100690,102298,22
100690,102429,23
100690,107549,24
100690,161165,25
100812,101879,1
100812,101514,2
100812,101480,3
100812,100706,4
100812,101295,5
100812,101189,6
100812,101709,7
100812,102368,8
100812,101675,9
100812,100654,10
100812,101736,11
100812,100724,12
100812,102049,13
100812,100858,14
100812,100690,15
100812,100663,16
100812,101587,17
100812,100751,18
100812,100937,19
100812,101435,20
100812,101693,21
100812,101897,22
100812,138789,23
100812,102076,24
100812,219949,25
100858,100751,1
100858,139959,2
100858,100663,3
100858,217882,4
100858,134130,5
100858,134097,6
100858,102368,7
100858,221759,8
100858,139755,9
100858,221999,10
100858,176017,11
100858,100830,12
100858,218663,13
100858,176080,14
100858,102049,15
100858,159391,16
100858,102094,17
100858,199120,18
100858,139940,19
100858,135726,20
100858,198419,21
100858,100724,22
100858,157085,23
100858,101480,24
100858,139931,25
100830,100858,1
100830,102368,2
100830,100663,3
100830,100751,4
100830,100724,5
100830,100654,6
100830,102094,7
100830,139959,8
100830,100706,9
100830,102377,10
100830,101480,11
100830,134130,12
100830,101189,13
100830,139940,14
100830,101435,15
100830,176080,16
100830,134097,17
100830,221759,18
100830,102049,19
100830,101879,20
100830,101709,21
100830,101587,22
100830,221838,23
100830,102270,24
100830,251260,25
102429,102067,1
102429,101295,2
102429,101879,3
102429,100663,4
102429,100751,5
102429,101505,6
102429,101736,7
102429,101587,8
102429,100858,9
102429,101569,10
102429,102368,11
102429,101709,12
102429,101480,13
102429,102076,14
102429,100706,15
102429,101240,16
102429,100760,17
102429,101541,18
102429,102030,19
102429,102094,20
102429,100937,21
102429,101602,22
102429,102049,23
102429,100690,24
102429,176080,25
100937,102049,1
100937,100663,2
100937,100751,3
100937,100858,4
100937,102368,5
100937,101480,6
100937,102094,7
100937,100706,8
100937,101709,9
100937,221351,10
100937,175980,11
100937,221519,12
100937,102234,13
100937,101435,14
100937,101879,15
100937,100654,16
100937,100724,17
100937,221999,18
100937,100830,19
100937,176080,20
100937,101189,21
100937,139144,22
100937,102270,23
100937,101569,24
100937,160755,25
102030,101161,1
102030,102094,2
102030,101693,3
102030,101949,4
102030,102234,5
102030,100654,6
102030,100724,7
102030,101189,8
102030,101569,9
102030,102298,10
102030,100663,11
102030,101675,12
102030,102067,13
102030,102368,14
102030,102377,15
102030,102270,16
102030,101301,17
102030,101912,18
102030,101073,19
102030,100830,20
102030,101462,21
102030,100760,22
102030,102429,23
102030,176071,24
102030,101143,25
100760,251260,1
100760,101949,2
100760,101480,3
100760,102368,4
100760,100663,5
100760,101569,6
100760,101505,7
100760,101240,8
100760,100830,9
100760,100858,10
100760,100724,11
100760,100751,12
100760,102094,13
100760,102067,14
100760,102298,15
100760,100706,16
100760,101675,17
100760,100654,18
100760,102049,19
100760,101897,20
100760,102429,21
100760,100937,22
100760,101435,23
100760,102030,24
100760,101879,25
101028,139366,1
101028,139357,2
101028,102368,3
101028,251260,4
101028,100858,5
101028,100663,6
101028,100751,7
101028,101480,8
101028,101435,9
101028,100724,10
101028,100830,11
101028,102377,12
101028,102094,13
101028,442781,14
101028,100760,15
101028,101949,16
101028,434584,17
101028,102030,18
101028,440402,19
101028,101189,20
101028,102429,21
101028,106625,22
101028,101286,23
101028,168883,24
101028,223506,25
100636,128328,1
100636,200697,2
100636,187912,3
100636,,4
100636,175519,5
100636,101648,6
100636,119678,7
100636,133553,8
100636,219879,9
100636,154129,10
100636,175883,11
100636,104160,12
100636,204796,13
100636,101949,14
100636,244233,15
100636,126207,16
100636,127617,17
100636,112385,18
100636,175935,19
100636,174473,20
100636,225308,21
100636,175652,22
100636,162779,23
100636,,24
100636,403469,25
101073,101675,1
101073,100724,2
101073,101301,3
101073,100654,4
101073,102298,5
101073,102377,6
101073,102270,7
101073,102368,8
101073,101569,9
101073,138716,10
101073,101949,11
101073,100663,12
101073,101480,13
101073,140960,14
101073,217721,15
101073,100830,16
101073,175856,17
101073,159009,18
101073,100706,19
101073,102094,20
101073,101912,21
101073,102067,22
101073,102234,23
101073,132602,24
101073,101189,25
101143,101286,1
101143,102368,2
101143,101602,3
101143,101435,4
101143,100858,5
101143,101949,6
101143,101453,7
101143,101709,8
101143,101189,9
101143,100830,10
101143,102030,11
101143,102094,12
101143,100760,13
101143,101541,14
101143,100663,15
101143,101693,16
101143,100690,17
101143,101569,18
101143,434584,19
101143,101462,20
101143,102234,21
101143,100751,22
101143,102298,23
101143,133021,24
101143,101499,25
101189,102368,1
101189,100830,2
101189,101435,3
101189,100663,4
101189,102049,5
101189,101693,6
101189,101480,7
101189,100858,8
101189,220215,9
101189,102094,10
101189,100724,11
101189,100751,12
101189,107044,13
101189,100654,14
101189,100937,15
101189,101879,16
101189,219976,17
101189,101709,18
101189,102234,19
101189,100706,20
101189,101587,21
101189,102270,22
101189,101675,23
101189,101161,24
101189,102377,25
101240,101480,1
101240,102076,2
101240,100663,3
101240,101897,4
101240,101295,5
101240,101505,6
101240,251260,7
101240,100751,8
101240,101879,9
101240,100858,10
101240,100706,11
101240,100760,12
101240,100654,13
101240,101709,14
101240,100937,15
101240,102094,16
101240,100724,17
101240,101569,18
101240,102368,19
101240,102067,20
101240,102049,21
101240,140988,22
101240,101675,23
101240,102429,24
101240,101587,25
101286,102368,1
101286,101143,2
101286,100858,3
101286,101602,4
101286,133021,5
101286,101435,6
101286,100830,7
101286,100663,8
101286,100751,9
101286,100724,10
101286,101949,11
101286,101189,12
101286,102094,13
101286,100706,14
101286,134343,15
101286,101301,16
101286,101295,17
101286,102049,18
101286,132408,19
101286,251260,20
101286,102429,21
101286,101480,22
101286,101879,23
101286,101240,24
101286,100760,25
101295,102076,1
101295,101879,2
101295,100663,3
101295,102429,4
101295,101505,5
101295,101480,6
101295,100706,7
101295,101514,8
101295,101240,9
101295,101736,10
101295,100751,11
101295,100858,12
101295,102368,13
101295,102067,14
101295,101587,15
101295,100812,16
101295,101709,17
101295,102049,18
101295,102094,19
101295,101569,20
101295,100830,21
101295,100937,22
101295,101897,23
101295,101602,24
101295,101541,25
101301,101073,1
101301,102067,2
101301,101569,3
101301,100724,4
101301,100830,5
101301,102368,6
101301,100663,7
101301,101675,8
101301,100654,9
101301,100751,10
101301,102030,11
101301,101161,12
101301,101949,13
101301,101587,14
101301,100706,15
101301,101602,16
101301,102298,17
101301,101286,18
101301,102377,19
101301,100858,20
101301,100760,21
101301,102270,22
101301,101505,23
101301,100937,24
101301,101709,25
102313,251260,1
102313,102368,2
102313,100830,3
102313,101471,4
102313,100724,5
102313,102270,6
