reviews,ratings
Voice not clear....READ MORE,3
It’s my 5th iPhone. Compact beast as usual.READ MORE,5
"It has a13 bionic but surprisingly antutu score lower then ip 11.Overall good. But not the best,Camera is excellent.Display is good but missing amoled at this price point. The main problem is battery. I use only 1 day and mostly new phone gives u good battery but in iphone se u didn't expect much. Bcs it has only 1800 mah, i think should be 2400 mah,But performance is really good, i think most people are not able to use it's beast processor bcs small in size, and lower the capacity of ba...READ MORE",5
Flipkart was decreasing the value of iphoneREAD MORE,5
The first apple phone after 10 long years of android usage. Simply loving its flamboyance and features which works like charm.READ MORE,4
Fast & smooth experience ! In day a twice you have to charge !!! Camera great but no zoom ! Much lighter easily one hand axis able ❤️🍁🍁🍁READ MORE,5
"Received a update IOS 14.5.1, performing well then previous version.READ MORE",5
"Am not of a Iphone user being this my first Iphone, and earlier I have used Motorola one Power, Redmi 3S Prime and some of the battery efficient android phones, charge doesn’t t last much. Iphone has it’s name over battery inefficiency, so can be ignored. And since I had a screen size specific requirement, I have no regrets. Shifting from Android to IOS, is a bit messy. Overall performance of the phone is decent. I feel I paid hefty for the brand image of Apple.READ MORE",4
NICE PRODUCT... within the price 25000rsREAD MORE,5
Very happy with this phone. Was using the first generation SE and it is a good upgrade. Battery life lasts a day depending on usage. Very good quality and finish. At the price of 26.5k it was a steal. Unhappy with the exchange offer as it was suddenly reduced by more than 60% of initially offered value without any screen or body damages and phone in working condition.READ MORE,5
"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones.READ MORE",5
Supb mobile it was my first iPhone it’s touch is brilliant I love that mobile ....READ MORE,5
"Everything is awesome about this little monster. Though the charger is 5W, but still it's fast. Go for it.READ MORE",5
Grate phoneREAD MORE,5
GoodREAD MORE,5
"Thanks flipkart, my mother really liked it as gift. Vibrant colour well sized and looks classy in hand.READ MORE",5
Display screen vibrates when playing musicREAD MORE,3
This is a small beast.....READ MORE,5
"I have used apple 3GS 10 years before, Later I used android devices like  Mi 3, Samsung Galaxy A7, Samsung s7 edge, Huawei , then ASUS 5z. Now, Apple iPhone Se 2020 is the best affordable price I got in big billion day. Great OfferREAD MORE",5
Superb phone all 4.7 starsREAD MORE,4
Not getting power adapter and airpodsREAD MORE,1
Amazing product. only battery backup is not upto the markREAD MORE,5
Worth itREAD MORE,5
Great phone worth for moneyREAD MORE,5
Nice productREAD MORE,4
Authentic and genuine!READ MORE,5
It's Good But iam struggle for Adapter ... Hope they will include adapterREAD MORE,4
Best phn in this range❤️READ MORE,5
Awesome product.READ MORE,5
Unbelievable performance... excellent product... value for money 💵READ MORE,5
The best budget small-screen iPhone right now after the pricey iPhone 12 mini.READ MORE,5
AwesomeREAD MORE,4
Excellent product only corn is  battery otherwise it is awesomeREAD MORE,4
Worth for moneyREAD MORE,4
"Getting nostalgia of iPhone 7 days. This is a pocket size beast. Simply perfect for a single hand use and feels so premium with those aluminium sides and glass back in hand. I own an iPhone 11 too and comparing with that, it doesn't lag behind anywhere in the performance. This is Special Edition iPhone 11. Spread love.READ MORE",5
"From a first time iOS user I am using Pixel 4a and I got this phone for my wife. Very smooth experience, quite different then regular android and marginally better then Pixel's.Camera quality is quite good, even in comparison to Pixel, but I believe it's mostly because of its punchy colours.Layout/Usability/UI is quite different and it's taking some time to get used to it.Hardware is very premium, better then my existing pixel 4a.Functionality and Customization wise I find it lackin...READ MORE",5
Very good product and less in spend and fast in speedREAD MORE,5
Very good iPhone at a great offer 😍READ MORE,5
"I bought this phone recently and there is no charger adapter available, how I can recharge the phone and need to buy separately after put alot money in purchasing the phone.No charger adapter and no ear plugs with same charge of money.READ MORE",2
The camera quality is no doubt unbelievably awesome. Battery is decent you will get around 9-10 hours after a decent usage . Screen size is small but trust me it’s better than many android phones.READ MORE,5
"Superb phone, also i would like to share that i have got phone in a good discount deal.READ MORE",5
Super♥️READ MORE,5
Performance top class hai 😍😍READ MORE,5
Nice product 👍READ MORE,4
Very nice product but charger is not givenREAD MORE,5
phone is very awesome but disappointed with battery backup if you want to buy iPhone in budget so dont need to purchase iPhone X iPhone xr iPhone xs max Or iPhone 11 because iPhone se already have a13 bionic chip it's little bit faster than iPhone 8 so don't spend much on upper modles of iphonesREAD MORE,5
Loving every bit of it ......i am a pubg player..... gives me 3hrs of game play which is more than enough for me....charges 1.15hrs of time is required to reach from 5-90 compared to android its slow but..at the iphone is iphone and i am proud to own it. Haven't been so happy to play pubg....i used to play in 6.4inch screen....but 4.7 inch screen is enough for meREAD MORE,5
SuperbREAD MORE,5
AwesomeREAD MORE,5
Good productREAD MORE,5
Excellent phone¡▪︎♤♡▪︎♡●♡●♡●♡♤●READ MORE,5
I never expect this price iPhone...really happy with big billon day sales.READ MORE,5
Battery could have been better ... Rest all worth for moneyREAD MORE,5
Awesome Mobile Want a iPhone u Can choose I Love Compact I had a little Confusion of pixel 4a Vs SE2020Already using a andoird so we can switch to IoSREAD MORE,5
"Phone is good,but camera is dispointingREAD MORE",4
Apple is always bestREAD MORE,5
Phone is awesome 👌 -----------But Battery Backup's very poor 👎👎👎👎👎!!!!!READ MORE,3
NiceREAD MORE,4
NiceeeeREAD MORE,4
Wrong charging cable. box was manipulated items changedREAD MORE,1
Very handy phoneREAD MORE,5
My phone last 10 months used and now Dead.READ MORE,2
SuperbREAD MORE,5
AwesomeREAD MORE,5
ExcellentREAD MORE,5
Whatever you need is in this phone. From the best camera to the best performance you’ll love this phone. If you don’t have any issue with the size you must go for it.READ MORE,5
Best iPhone at this priceREAD MORE,5
Nice phoneREAD MORE,5
Very nice phone...READ MORE,5
Best product as per range must buyREAD MORE,5
GoodREAD MORE,4
Excellent for day to day office useREAD MORE,5
"Magnificent art of craftsmanship...!!! Just loved it, this is my first iPhone SE which I ordered in black, my second iPhone SE is white which I ordered during BBDS! Value for money!!!READ MORE",5
Very good phoneREAD MORE,5
Awesome MobileREAD MORE,5
"It is a good phone, phone camera is really awesome!! Performance is also great!! No doubt the A13 Bionic chip is simply flawless. One thing you need to keep in mind while buying this particular beast: battery backup is really low! For that you can keep a power bank! Except the battery backup, the phone is really unmatched and top in performance. Great pick instead of One plus Nord!! Picture quality is really great with so many options in it. I’m writing this review after using for 15days.READ MORE",5
Nice with low budgetREAD MORE,5
Excellent phone …only issue is the battery back upREAD MORE,3
Amazing PhoneREAD MORE,5
Good phone with in the affordable price  by Apple. Value for moneyREAD MORE,5
Awesome Just Get This OneREAD MORE,5
niceREAD MORE,5
"Time tested design, quality product in every sense, excellent for digital minimalism.Study on iPhone SE is not possible due to its tiny display and battery. But it can give distraction free environment to those who studies on book, tablet or laptop. Under 30k it is a complete productivity tool.Don't buy it for gaming & watching videos.READ MORE",5
Excellent phoneREAD MORE,4
Good product at offerdable price nice one to buypREAD MORE,5
Good productREAD MORE,5
GoodREAD MORE,5
GoodREAD MORE,4
Iphone se is amezingREAD MORE,5
Performance is excellent...average battery for normal users...liked the designREAD MORE,4
Awesome phoneREAD MORE,5
Very nice ... perfect for priceREAD MORE,5
Best budget phone for proffessional user.It is best suitable phone for isers who don’t use phone for gaming.It gives me a full day battery life with continuous 4g OnREAD MORE,5
GOODREAD MORE,3
"Everything is superb, except battery.READ MORE",5
Simple & DeligantREAD MORE,5
Day light camera 😍READ MORE,5
Very good mobileREAD MORE,5
Great product at best price. Bought it for 25K. Thanks Flipkart for Big Billion Day. And also thanks SBI for the offer on credit card. Great experience. Owning an I phone of 2020 model at this price. Small and handy phone with latest Bionic Chip. Assembled In INDIA....READ MORE,5
Everything is very good except battery life. It’s too worstREAD MORE,4
price should be low.READ MORE,2
excellentREAD MORE,5
Good packing and quick deliveryREAD MORE,5
Excellent device 😍😍😍READ MORE,5
Sound quality was not goodREAD MORE,2
