rating,review
3,"I think these are amazing for anyone over, say, 5'5"". the way these hung on me (at 5'2"") were very unflattering in the front. they had an unfortunate masculine effect to them. that's all i can say without being crass."
5,"Just got this top and i love it! it's color is more saturated in person, which i like. more of a pinky-purple. very sweet and feminine. i still have a bit of a ""mommy tummy"" and the style hides that pretty well. it's very soft and comfortable as well. overall, happy with this top :)"
2,I liked this top okay but i did not think it was worth full price. i thought it was only average.
5,"It's lightweight, soft, & slinky, unike the average t-shirt. the slinkiness makes it skim the body nicely."
3,Loved that this was an 100% boiled wool dress but unfortunately runs very large. i tried the small and extra small - both were really large in the hips. i will maybe try the xxs - was hoping to make this is winter staple.
5,"Absolutely in love with this top. the embroidery and back button detail make for a unique and fun look. light and airy material will be perfect in warmer weather with a cute pair of shorts. i got a size small and it fits perfectly. measurements: 5'4, 135lbs, 32e"
5,"I am curvy/petite. this fits great, is true to size, is super comfortable and lined with cotton. very pretty and well made."
4,"I love the look and design of these pants. i'm 5'1, 110lbs and i ordered a 25p and still had to get them hemmed to even fit like pants. on the model, these look cropped but mine were even too long to be pants when i got them. i love the pant but if you are a petite, be ready to need alterations to the length!!"
5,"I got these in the brown and the red in my usual xspetite, and love both. the length is perfect for my 5'3"" height and they're not skin tight, but fit like a glove (i have a 26"" waist and 34"" hips). the elastic inside the waistband can get flipped fairly easily if i'm not careful, but it's easy to flip it back. i think that's the only thing that might stop me from attempting to wash them in the machine against the instructions, which say to hand wash only. i wish they had been made machine washa"
3,"Oh wow no.
as the previous reviewer said, much lighter than the picture!
rise and inseam are as described but with the light denim they combined to make a bad look for this 40something. maybe for a younger audience who like the 90s retro vibe?
the fit is true to size, i tried the 27 and it was a nice snug fit around the bum (waist 28/29, hips 36, usually a 27 or 28 in jeans, sometimes even a 29 if they're super skinny)."
5,"Very cute top. i ordered the white & it is thin so you might want to wear a cami with it. will look very cute with jeans, shorts or skirts. love the back! wish it came in more colors - would definitely order it in black."
4,"I love a jumpsuit for its ease of dressing. this is the 3rd i've purchased from retailer.
material is thin and gauzy as described. with a sweater or jacket it will be plenty warm for so cal winters and great the rest of the year.
if you are all tall, the waist might fall a bit short. i am 5'6"" and the waist just barely hits my waistline.
doubt i would have purchased this item full price, but on sale it's a great deal."
5,"I needed a summer party dress for a few casual special occasions this summer and this dress fit the bill perfectly. fits tts (5'8"", 160lb - sz 8) and is really flattering. it is quite open in the front but i was able to keep everything situated w/ the right bra. purchased it on sale and am so pleased!"
5,"I was worried this sweater would be too tight, but it has a very flattering fit. i am a librarian and this sweater makes me feel like a quirky librarian. i love it!"
5,"This is a great dress that looks better in reality than it shows on the website. the style is very flattering, fitting snug at the waist with just the right amount of flare. i am 132 pounds, 34dd and i bought a size 8 and it fit great. the material is soft and flowing and the cut was true to size for me. the first time i wore it a woman walked across the restaurant to tell me how much she loved my dress. this one is a keeper."
4,
5,"This is the cutest romper ever !! very high quality.. 
it has always been a challenge for me to find and love rompers. but this fit beautifully.
i cant wait to wear it this summer."
5,"Good fit, quality, similar to the brand's other jeans."
1,Bought two of these because i loved the way they fit off of the rack. washed them according to directions and they were ruined. the material shrank up making the shirt short and boxy and the side panels ended up being rippled. definitely going to try to return these.
5,"I've been looking for white beach shorts and these are perfect! as another reviewer said, they are in fact see-through -- because they are meant to be a cover up, not ""real"" shorts. the hem detail is very cute and they're super comfortable! my size small fit tts, and the 3"" hem is nice for tall women."
