year,status,state,demo,grads
2000,actual,Alabama,grand_total,41316
2001,actual,Alabama,grand_total,40127
2002,actual,Alabama,grand_total,41412
2003,actual,Alabama,grand_total,41729
2004,actual,Alabama,grand_total,42644
2005,actual,Alabama,grand_total,42908
2006,actual,Alabama,grand_total,43488
2007,actual,Alabama,grand_total,45981
2008,actual,Alabama,grand_total,47359
2009,actual,Alabama,grand_total,48178
2010,actual,Alabama,grand_total,50756
2011,projected,Alabama,grand_total,50262.541220277504
2012,projected,Alabama,grand_total,49127.631906049246
2013,projected,Alabama,grand_total,49242.10475440445
2014,projected,Alabama,grand_total,50317.0476849407
2015,projected,Alabama,grand_total,49386.39739511974
2016,projected,Alabama,grand_total,49101.94761363561
2017,projected,Alabama,grand_total,49843.44024757221
2018,projected,Alabama,grand_total,48689.73869748976
2019,projected,Alabama,grand_total,47131.02781731337
2020,projected,Alabama,grand_total,46185.08420977458
2021,projected,Alabama,grand_total,45801.413602339926
2022,projected,Alabama,grand_total,45850.18051037954
2023,projected,Alabama,grand_total,46808.2371881381
2024,projected,Alabama,grand_total,48325.324487603786
2025,projected,Alabama,grand_total,48737.01960542987
2026,projected,Alabama,grand_total,47122.40448121367
2027,projected,Alabama,grand_total,45137.80281604357
2028,projected,Alabama,grand_total,44514.358809715355
2029,projected,Alabama,grand_total,43890.392114540125
2030,projected,Alabama,grand_total,43744.74866387618
2031,projected,Alabama,grand_total,44677.10628883246
2000,actual,Alabama,private_total,4234
2001,actual,Alabama,private_total,4240
2002,actual,Alabama,private_total,4671
2003,actual,Alabama,private_total,5265
2004,actual,Alabama,private_total,5191
2005,actual,Alabama,private_total,4990
2006,actual,Alabama,private_total,4576
2007,actual,Alabama,private_total,4635
2008,actual,Alabama,private_total,5277
2009,actual,Alabama,private_total,5012
2010,actual,Alabama,private_total,4721
2011,projected,Alabama,private_total,4868.541220277508
2012,projected,Alabama,private_total,4894.631906049249
2013,projected,Alabama,private_total,4814.879573389496
2014,projected,Alabama,private_total,4845.641259979054
2015,projected,Alabama,private_total,4601.419958750977
2016,projected,Alabama,private_total,4531.17999172233
2017,projected,Alabama,private_total,4454.553776699997
2018,projected,Alabama,private_total,4071.9503715860997
2019,projected,Alabama,private_total,3737.518385513971
2020,projected,Alabama,private_total,3561.996967329167
2021,projected,Alabama,private_total,3333.418804783804
2022,projected,Alabama,private_total,3223.0765982696335
2023,projected,Alabama,private_total,3703.9563037859225
2024,projected,Alabama,private_total,3792.319355184931
2025,projected,Alabama,private_total,3724.070617604365
2026,projected,Alabama,private_total,3567.299853446558
2027,projected,Alabama,private_total,3427.9289746064937
2028,projected,Alabama,private_total,3420.168575004688
2029,projected,Alabama,private_total,3366.999718385737
2030,projected,Alabama,private_total,3343.013745632988
2031,projected,Alabama,private_total,3410.988528513042
2000,actual,Alabama,public_total,37082
2001,actual,Alabama,public_total,35887
2002,actual,Alabama,public_total,36741
2003,actual,Alabama,public_total,36464
